age,gender,origin_country,employment_status,travel_frequency,flight_duration,nervous_behavior,avoids_customs,inconsistent_story,unfamiliar_with_luggage,paid_with_cash,short_notice_ticket,one_way_ticket,previous_visits_to_hotspots,has_criminal_record,is_smuggler
30,female,Colombia,unemployed,5,4.3,no,no,no,no,no,no,no,2,no,0
44,female,Brazil,unemployed,1,9.4,yes,yes,yes,yes,yes,yes,yes,2,no,1
52,male,USA,self-employed,1,4.8,no,no,no,no,no,no,no,2,no,0
52,female,Netherlands,student,2,6.2,no,no,no,no,no,no,no,1,no,0
42,female,Brazil,self-employed,1,8.6,no,no,no,no,no,no,no,0,no,0
25,female,Mexico,student,1,5.5,no,no,no,no,no,no,no,0,no,0
26,male,USA,student,4,6.6,no,no,no,no,no,no,no,1,no,0
31,male,USA,employed,3,7.0,no,no,no,no,no,no,no,1,no,0
53,female,UK,self-employed,3,5.5,no,no,no,no,no,no,no,0,no,0
64,female,Nigeria,self-employed,0,6.9,no,no,no,no,no,no,no,1,no,0
23,male,UK,student,3,4.6,no,no,no,no,no,no,no,0,no,0
46,male,Mexico,student,4,7.7,no,no,no,no,no,no,no,2,no,0
59,female,Colombia,self-employed,1,4.8,no,no,no,no,no,no,no,0,no,0
58,male,UK,self-employed,3,6.2,no,no,no,no,no,no,no,1,no,0
45,female,Netherlands,unemployed,7,5.7,no,no,no,no,no,no,no,1,no,0
43,female,Netherlands,unemployed,5,6.5,no,no,no,no,no,no,no,0,no,0
39,male,Nigeria,employed,0,8.4,no,no,no,no,no,no,no,2,no,0
34,female,Nigeria,unemployed,4,8.4,no,no,no,no,no,no,no,1,no,0
42,female,Colombia,student,4,5.2,no,no,no,no,no,no,no,1,no,0
33,female,Mexico,self-employed,3,9.6,no,no,no,no,no,no,no,1,no,0
30,female,UK,unemployed,5,6.7,no,no,no,no,no,no,no,0,no,0
51,female,USA,self-employed,2,6.7,no,no,no,no,no,no,no,0,no,0
19,female,Colombia,employed,4,11.9,yes,yes,yes,yes,no,yes,no,3,no,1
41,female,Brazil,student,1,5.4,no,no,no,no,no,no,no,1,no,0
25,female,Colombia,employed,3,7.4,no,no,no,no,no,no,no,1,no,0
63,male,Brazil,unemployed,0,5.5,no,no,no,no,no,no,no,2,no,0
36,male,Mexico,self-employed,3,7.5,no,no,no,no,no,no,no,0,no,0
48,male,Colombia,self-employed,1,6.3,no,no,no,no,no,no,no,0,no,0
41,male,Mexico,self-employed,3,8.6,no,no,no,no,no,no,no,0,no,0
39,female,Brazil,unemployed,1,4.6,no,no,no,no,no,no,no,0,no,0
20,female,UK,self-employed,2,7.9,no,no,no,no,no,no,no,1,no,0
42,male,USA,unemployed,2,7.3,no,no,no,no,no,no,no,2,no,0
38,female,UK,student,2,1.8,no,no,no,no,no,no,no,0,no,0
63,female,Brazil,self-employed,0,4.2,no,no,no,no,no,no,no,1,no,0
61,male,USA,employed,3,10.9,yes,no,yes,yes,no,yes,no,5,yes,1
48,female,USA,student,2,3.6,no,no,no,no,no,no,no,1,no,0
27,male,Mexico,employed,3,9.8,yes,yes,yes,yes,yes,no,yes,4,yes,1
47,male,USA,employed,0,4.1,no,no,no,no,no,no,no,1,no,0
37,male,Netherlands,unemployed,3,7.7,no,no,no,no,no,no,no,0,no,0
62,male,Netherlands,self-employed,1,5.3,no,no,no,no,no,no,no,0,no,0
37,male,Brazil,unemployed,3,7.9,yes,yes,yes,no,yes,no,no,4,no,1
22,female,UK,self-employed,3,5.8,no,no,no,no,no,no,no,2,no,0
48,female,USA,unemployed,2,6.2,no,no,no,no,no,no,no,1,no,0
25,female,Colombia,self-employed,0,13.7,yes,no,yes,yes,yes,no,yes,1,no,1
57,female,Brazil,self-employed,0,11.1,no,no,yes,no,yes,yes,yes,5,no,1
53,male,USA,employed,5,5.0,no,no,no,no,no,no,no,0,no,0
28,female,Mexico,employed,2,8.7,no,no,no,no,no,no,no,0,no,0
36,female,Brazil,employed,1,8.8,yes,no,no,no,yes,no,no,5,no,1
21,female,UK,unemployed,5,4.3,no,no,no,no,no,no,no,1,no,0
58,male,Nigeria,self-employed,0,6.9,no,no,no,no,no,no,no,1,no,0
54,female,Colombia,unemployed,2,4.2,no,no,no,no,no,no,no,2,no,0
31,male,Mexico,self-employed,3,11.6,yes,no,yes,yes,no,no,yes,4,yes,1
63,female,Netherlands,unemployed,0,3.1,no,no,no,no,no,no,no,2,no,0
40,male,UK,employed,6,6.7,no,no,no,no,no,no,no,1,no,0
40,male,UK,student,3,7.6,no,no,no,no,no,no,no,1,no,0
49,female,Colombia,unemployed,3,4.9,no,no,no,no,no,no,no,0,no,0
21,female,Nigeria,student,6,9.1,no,no,no,no,no,no,no,1,no,0
60,female,Nigeria,self-employed,0,3.7,no,no,no,no,no,no,no,1,no,0
43,male,Colombia,student,3,5.9,no,no,no,no,no,no,no,2,no,0
60,female,USA,employed,3,7.2,no,no,no,no,no,no,no,2,no,0
30,male,UK,unemployed,3,6.7,no,no,no,no,no,no,no,0,no,0
56,male,Brazil,student,2,7.6,yes,yes,yes,no,no,no,yes,3,yes,1
28,male,Nigeria,student,2,4.7,no,no,no,no,no,no,no,1,no,0
62,female,Netherlands,self-employed,3,5.2,no,no,no,no,no,no,no,0,no,0
47,female,Brazil,self-employed,3,3.5,no,no,no,no,no,no,no,1,no,0
38,female,UK,self-employed,2,5.1,no,no,no,no,no,no,no,2,no,0
43,male,Mexico,self-employed,1,3.4,no,no,no,no,no,no,no,0,no,0
52,male,Brazil,self-employed,1,5.9,no,no,no,no,no,no,no,1,no,0
29,female,Netherlands,student,1,12.1,yes,yes,no,yes,yes,no,yes,1,no,1
21,male,Nigeria,self-employed,3,8.9,no,no,no,no,no,no,no,2,no,0
56,female,UK,self-employed,1,6.4,no,no,no,no,no,no,no,2,no,0
34,male,USA,employed,2,6.4,no,no,no,no,no,no,no,0,no,0
45,female,UK,employed,1,7.0,no,no,no,no,no,no,no,2,no,0
21,male,UK,employed,0,6.5,no,no,no,no,no,no,no,1,no,0
40,male,Colombia,self-employed,2,4.4,no,no,no,no,no,no,no,1,no,0
19,male,USA,self-employed,2,7.2,no,no,no,no,no,no,no,2,no,0
18,male,Brazil,employed,1,5.3,no,no,no,no,no,no,no,0,no,0
